collect_time,temperature,irradiance,wind_speed,active_power
2023-08-12 00:00:00,20.6,0.0,8.5,0.0
2023-08-12 00:05:00,20.6,0.0,8.5,0.0
2023-08-12 00:10:00,20.6,0.0,8.5,0.0
2023-08-12 00:15:00,20.6,0.0,8.5,0.0
2023-08-12 00:20:00,20.6,0.0,8.5,0.0
2023-08-12 00:25:00,20.6,0.0,8.5,0.0
2023-08-12 00:30:00,20.6,0.0,8.5,0.0
2023-08-12 00:35:00,20.6,0.0,8.5,0.0
2023-08-12 00:40:00,20.6,0.0,8.5,0.0
2023-08-12 00:45:00,20.6,0.0,8.5,0.0
2023-08-12 00:50:00,20.6,0.0,8.5,0.0
2023-08-12 00:55:00,20.6,0.0,8.5,0.0
2023-08-12 01:00:00,20.6,0.0,8.5,0.0
2023-08-12 01:05:00,20.6,0.0,7.3,0.0
2023-08-12 01:10:00,20.5,0.0,8.1,0.0
2023-08-12 01:15:00,20.5,0.0,8.8,0.0
2023-08-12 01:20:00,20.4,0.0,8.5,0.0
2023-08-12 01:25:00,20.4,0.0,8.8,0.0
2023-08-12 01:30:00,20.4,0.0,7.3,0.0
2023-08-12 01:35:00,20.3,0.0,6.2,0.0
2023-08-12 01:40:00,20.3,0.0,6.2,0.0
2023-08-12 01:45:00,20.3,0.0,8.5,0.0
2023-08-12 01:50:00,20.1,0.0,8.1,0.0
2023-08-12 01:55:00,20.1,0.0,7.7,0.0
2023-08-12 02:00:00,20.0,0.0,8.1,0.0
2023-08-12 02:05:00,20.0,0.0,8.8,0.0
2023-08-12 02:10:00,19.9,0.0,7.7,0.0
2023-08-12 02:15:00,19.8,0.0,7.3,0.0
2023-08-12 02:20:00,19.6,0.0,6.6,0.0
2023-08-12 02:25:00,19.6,0.0,8.5,0.0
2023-08-12 02:30:00,19.5,0.0,8.8,0.0
2023-08-12 02:35:00,19.5,0.0,6.9,0.0
2023-08-12 02:40:00,19.5,0.0,7.3,0.0
2023-08-12 02:45:00,19.4,0.0,7.7,0.0
2023-08-12 02:50:00,19.3,0.0,7.7,0.0
2023-08-12 02:55:00,19.3,0.0,7.3,0.0
2023-08-12 03:00:00,19.2,0.0,7.7,0.0
2023-08-12 03:05:00,19.3,0.0,8.8,0.0
2023-08-12 03:10:00,19.3,0.0,7.3,0.0
2023-08-12 03:15:00,19.3,0.0,8.1,0.0
2023-08-12 03:20:00,19.2,0.0,7.7,0.0
2023-08-12 03:25:00,19.2,0.0,8.5,0.0
2023-08-12 03:30:00,19.2,0.0,6.6,0.0
2023-08-12 03:35:00,19.2,0.0,8.1,0.0
2023-08-12 03:40:00,19.2,0.0,8.1,0.0
2023-08-12 03:45:00,19.3,0.0,7.3,0.0
2023-08-12 03:50:00,19.3,0.0,6.2,0.0
2023-08-12 03:55:00,19.4,0.0,7.7,0.0
2023-08-12 04:00:00,19.5,0.0,8.8,0.0
2023-08-12 04:05:00,19.5,0.0,8.5,0.0
2023-08-12 04:10:00,19.4,0.0,8.1,0.0
2023-08-12 04:15:00,19.4,0.0,8.1,0.0
2023-08-12 04:20:00,19.3,0.0,8.8,0.0
2023-08-12 04:25:00,19.4,0.0,7.7,0.0
2023-08-12 04:30:00,19.4,0.0,8.1,0.0
2023-08-12 04:35:00,19.3,0.0,6.9,0.0
2023-08-12 04:40:00,19.2,0.0,6.9,0.0
2023-08-12 04:45:00,19.8,0.0,6.9,0.0
2023-08-12 04:50:00,19.3,0.0,6.9,0.0
2023-08-12 04:55:00,19.2,0.0,7.3,0.0
2023-08-12 05:00:00,19.3,0.0,7.3,0.0
2023-08-12 05:05:00,19.3,0.0,5.8,0.0
2023-08-12 05:10:00,19.3,0.0,5.8,0.0
2023-08-12 05:15:00,19.4,0.0,7.7,0.0
2023-08-12 05:20:00,19.5,0.0,7.7,0.0
2023-08-12 05:25:00,19.5,0.0,6.6,0.0
2023-08-12 05:30:00,19.5,0.0,6.6,0.0
2023-08-12 05:35:00,19.5,0.0,5.4,0.0
2023-08-12 05:40:00,19.6,0.0,6.9,0.0
2023-08-12 05:45:00,19.6,0.0,8.8,0.0
2023-08-12 05:50:00,19.6,0.0,7.3,0.0
2023-08-12 05:55:00,19.7,0.0,7.3,0.0
2023-08-12 06:00:00,19.8,0.0,6.6,0.0
2023-08-12 06:05:00,19.9,0.0,7.7,0.0
2023-08-12 06:10:00,19.8,0.0,6.6,0.0
2023-08-12 06:15:00,19.9,0.0,6.2,0.0
2023-08-12 06:20:00,19.9,0.4,6.9,0.0
2023-08-12 06:25:00,19.8,0.0,6.9,0.0
2023-08-12 06:30:00,19.8,1.4,6.9,0.0
2023-08-12 06:35:00,19.8,0.9,5.8,0.464
2023-08-12 06:40:00,19.8,5.1,7.7,1.029
2023-08-12 06:45:00,19.9,6.1,6.2,1.5699999999999998
2023-08-12 06:50:00,19.9,8.9,5.0,2.186
2023-08-12 06:55:00,20.0,10.8,8.1,2.9640000000000004
2023-08-12 07:00:00,20.0,12.7,6.9,3.692
2023-08-12 07:05:00,20.1,16.9,6.9,5.407
2023-08-12 07:10:00,20.5,20.6,8.5,6.831
2023-08-12 07:15:00,20.6,22.5,7.3,7.836
2023-08-12 07:20:00,20.6,23.0,6.2,7.01
2023-08-12 07:25:00,20.7,19.7,11.9,6.92
2023-08-12 07:30:00,20.8,25.3,8.1,8.414
2023-08-12 07:35:00,20.8,32.9,9.6,10.542
2023-08-12 07:40:00,21.0,42.7,9.2,14.238
2023-08-12 07:45:00,21.4,94.0,9.6,33.367
2023-08-12 07:50:00,22.0,141.4,8.8,51.597
2023-08-12 07:55:00,22.1,131.0,7.3,46.399
2023-08-12 08:00:00,22.3,165.3,10.4,60.512
2023-08-12 08:05:00,22.5,230.9,8.1,84.515
2023-08-12 08:10:00,22.5,76.9,11.5,26.933
2023-08-12 08:15:00,22.2,200.0,11.1,72.50399999999999
2023-08-12 08:20:00,22.8,215.9,11.9,79.388
2023-08-12 08:25:00,23.0,255.7,12.3,95.57
2023-08-12 08:30:00,23.1,190.4,10.7,95.149
2023-08-12 08:35:00,22.5,79.3,13.4,28.366
2023-08-12 08:40:00,22.3,71.3,11.5,24.456
2023-08-12 08:45:00,23.0,303.1,10.4,113.905
2023-08-12 08:50:00,22.6,225.3,12.7,68.021
2023-08-12 08:55:00,22.6,351.5,10.7,132.822
2023-08-12 09:00:00,23.3,365.3,14.9,139.064
2023-08-12 09:05:00,23.1,74.0,13.8,32.614999999999995
2023-08-12 09:10:00,23.7,436.3,12.7,166.844
2023-08-12 09:15:00,23.1,114.4,12.7,41.904
2023-08-12 09:20:00,23.1,172.6,10.0,67.09899999999999
2023-08-12 09:25:00,23.8,575.2,9.2,220.126
2023-08-12 09:30:00,24.2,516.0,10.7,201.18
2023-08-12 09:35:00,24.1,576.4,8.1,223.278
2023-08-12 09:40:00,24.7,139.0,12.7,51.956
2023-08-12 09:45:00,24.3,577.1,14.9,223.505
2023-08-12 09:50:00,24.0,586.0,10.0,225.012
2023-08-12 09:55:00,24.8,573.6,13.8,219.808
2023-08-12 10:00:00,24.2,655.9,15.7,254.534
2023-08-12 10:05:00,23.8,189.5,15.3,71.01
2023-08-12 10:10:00,23.7,699.8,16.1,269.219
2023-08-12 10:15:00,24.1,737.9,11.1,283.076
2023-08-12 10:20:00,24.6,716.3,14.6,275.247
2023-08-12 10:25:00,24.3,153.9,18.0,56.525000000000006
2023-08-12 10:30:00,24.7,337.8,14.9,127.614
2023-08-12 10:35:00,24.7,697.0,14.6,298.977
2023-08-12 10:40:00,24.3,767.3,14.6,292.021
2023-08-12 10:45:00,25.4,733.0,13.4,264.243
2023-08-12 10:50:00,25.1,124.8,13.8,43.58
2023-08-12 10:55:00,24.9,247.8,14.6,66.795
2023-08-12 11:00:00,24.1,410.5,13.0,242.562
2023-08-12 11:05:00,25.1,849.4,14.6,313.452
2023-08-12 11:10:00,24.5,827.1,16.1,290.75
2023-08-12 11:15:00,24.5,861.4,10.7,318.095
2023-08-12 11:20:00,25.5,840.5,11.9,320.56499999999994
2023-08-12 11:25:00,25.5,838.6,13.4,316.594
2023-08-12 11:30:00,25.3,854.9,17.2,323.987
2023-08-12 11:35:00,25.5,883.2,13.4,333.438
2023-08-12 11:40:00,25.0,866.8,12.7,324.994
2023-08-12 11:45:00,25.8,866.4,16.1,325.527
2023-08-12 11:50:00,25.3,878.5,16.8,330.009
2023-08-12 11:55:00,26.1,891.1,13.8,333.617
2023-08-12 12:00:00,25.8,895.0,12.7,335.495
2023-08-12 12:05:00,26.1,903.0,18.7,337.664
2023-08-12 12:10:00,26.1,912.8,13.8,340.352
2023-08-12 12:15:00,26.5,917.3,8.5,343.02
2023-08-12 12:20:00,26.5,921.4,13.4,343.288
2023-08-12 12:25:00,25.6,930.9,13.0,346.404
